2023-08-07 19:08:25,369 DEBUG Data statistics: {0: {0: 351, 1: 2517, 4: 1070, 5: 893, 6: 127, 7: 241}, 1: {0: 152, 1: 125, 2: 1323, 3: 973, 4: 941, 5: 406, 7: 474, 8: 1297}, 2: {0: 11, 1: 54, 2: 354, 3: 23, 4: 329, 5: 1474, 6: 65, 7: 59, 8: 278, 9: 126}, 3: {0: 66, 1: 318, 2: 25, 3: 152, 4: 679, 6: 104, 7: 1569, 8: 1034, 9: 917}, 4: {0: 21, 1: 970, 2: 60, 3: 154, 4: 2, 5: 54, 6: 2737, 7: 372, 8: 91, 9: 2398}, 5: {0: 1733, 1: 94, 2: 77, 3: 90, 4: 41, 5: 1007, 6: 63, 7: 57, 8: 1997}, 6: {2: 27, 3: 72, 4: 439, 5: 827, 6: 236, 7: 2025, 8: 276, 9: 1481}, 7: {0: 1350, 1: 801, 2: 302, 4: 254, 5: 1, 6: 8, 7: 202, 8: 27, 9: 78}, 8: {0: 848, 1: 6, 2: 2759, 3: 868, 4: 1237}, 9: {0: 468, 1: 115, 2: 73, 3: 2668, 4: 8, 5: 338, 6: 1660, 7: 1}}
2023-08-07 19:08:25,369 DEBUG Data statistics: {0: {0: 351, 1: 2517, 4: 1070, 5: 893, 6: 127, 7: 241}, 1: {0: 152, 1: 125, 2: 1323, 3: 973, 4: 941, 5: 406, 7: 474, 8: 1297}, 2: {0: 11, 1: 54, 2: 354, 3: 23, 4: 329, 5: 1474, 6: 65, 7: 59, 8: 278, 9: 126}, 3: {0: 66, 1: 318, 2: 25, 3: 152, 4: 679, 6: 104, 7: 1569, 8: 1034, 9: 917}, 4: {0: 21, 1: 970, 2: 60, 3: 154, 4: 2, 5: 54, 6: 2737, 7: 372, 8: 91, 9: 2398}, 5: {0: 1733, 1: 94, 2: 77, 3: 90, 4: 41, 5: 1007, 6: 63, 7: 57, 8: 1997}, 6: {2: 27, 3: 72, 4: 439, 5: 827, 6: 236, 7: 2025, 8: 276, 9: 1481}, 7: {0: 1350, 1: 801, 2: 302, 4: 254, 5: 1, 6: 8, 7: 202, 8: 27, 9: 78}, 8: {0: 848, 1: 6, 2: 2759, 3: 868, 4: 1237}, 9: {0: 468, 1: 115, 2: 73, 3: 2668, 4: 8, 5: 338, 6: 1660, 7: 1}}
2023-08-07 19:08:25,369 DEBUG Data statistics: {0: {0: 351, 1: 2517, 4: 1070, 5: 893, 6: 127, 7: 241}, 1: {0: 152, 1: 125, 2: 1323, 3: 973, 4: 941, 5: 406, 7: 474, 8: 1297}, 2: {0: 11, 1: 54, 2: 354, 3: 23, 4: 329, 5: 1474, 6: 65, 7: 59, 8: 278, 9: 126}, 3: {0: 66, 1: 318, 2: 25, 3: 152, 4: 679, 6: 104, 7: 1569, 8: 1034, 9: 917}, 4: {0: 21, 1: 970, 2: 60, 3: 154, 4: 2, 5: 54, 6: 2737, 7: 372, 8: 91, 9: 2398}, 5: {0: 1733, 1: 94, 2: 77, 3: 90, 4: 41, 5: 1007, 6: 63, 7: 57, 8: 1997}, 6: {2: 27, 3: 72, 4: 439, 5: 827, 6: 236, 7: 2025, 8: 276, 9: 1481}, 7: {0: 1350, 1: 801, 2: 302, 4: 254, 5: 1, 6: 8, 7: 202, 8: 27, 9: 78}, 8: {0: 848, 1: 6, 2: 2759, 3: 868, 4: 1237}, 9: {0: 468, 1: 115, 2: 73, 3: 2668, 4: 8, 5: 338, 6: 1660, 7: 1}}
2023-08-07 19:08:25,370 DEBUG SFL-Moco-microbatch (Moco-V2, Hetero: True, Sample_Ratio: 1.0) Train on cifar10 with cutlayer 1 and 10 clients with 1.0-data-distribution: total epochs: 400, total number of batches for each client is 325
2023-08-07 19:08:25,370 DEBUG SFL-Moco-microbatch (Moco-V2, Hetero: True, Sample_Ratio: 1.0) Train on cifar10 with cutlayer 1 and 10 clients with 1.0-data-distribution: total epochs: 400, total number of batches for each client is 325
2023-08-07 19:08:25,370 DEBUG SFL-Moco-microbatch (Moco-V2, Hetero: True, Sample_Ratio: 1.0) Train on cifar10 with cutlayer 1 and 10 clients with 1.0-data-distribution: total epochs: 400, total number of batches for each client is 325
total_epoch=400, --cos=True, batch_size=16*3

2023-08-07 19:09:43,756 DEBUG epoch:1, knn_val_accu: 36.45, contrast_loss: 9.53, contrast_acc: 6.26
2023-08-07 19:09:44,351 DEBUG epoch:1, knn_val_accu: 36.45, contrast_loss: 9.53, contrast_acc: 6.26
2023-08-07 19:09:45,716 DEBUG epoch:1, knn_val_accu: 36.45, contrast_loss: 9.53, contrast_acc: 6.26
2023-08-07 19:10:59,995 DEBUG epoch:2, knn_val_accu: 39.57, contrast_loss: 9.12, contrast_acc: 13.99
2023-08-07 19:11:00,462 DEBUG epoch:2, knn_val_accu: 39.57, contrast_loss: 9.12, contrast_acc: 13.99
2023-08-07 19:11:02,233 DEBUG epoch:2, knn_val_accu: 39.57, contrast_loss: 9.12, contrast_acc: 13.99
2023-08-07 19:12:20,422 DEBUG epoch:3, knn_val_accu: 40.68, contrast_loss: 9.01, contrast_acc: 18.91
2023-08-07 19:12:20,904 DEBUG epoch:3, knn_val_accu: 40.68, contrast_loss: 9.01, contrast_acc: 18.91
2023-08-07 19:12:22,872 DEBUG epoch:3, knn_val_accu: 40.68, contrast_loss: 9.01, contrast_acc: 18.91
2023-08-07 19:13:41,337 DEBUG epoch:4, knn_val_accu: 43.01, contrast_loss: 8.95, contrast_acc: 22.41
2023-08-07 19:13:41,717 DEBUG epoch:4, knn_val_accu: 43.01, contrast_loss: 8.95, contrast_acc: 22.41
2023-08-07 19:13:43,602 DEBUG epoch:4, knn_val_accu: 43.01, contrast_loss: 8.95, contrast_acc: 22.41
2023-08-07 19:15:01,197 DEBUG epoch:5, knn_val_accu: 44.33, contrast_loss: 8.91, contrast_acc: 25.19
2023-08-07 19:15:01,597 DEBUG epoch:5, knn_val_accu: 44.33, contrast_loss: 8.91, contrast_acc: 25.19
2023-08-07 19:15:03,729 DEBUG epoch:5, knn_val_accu: 44.33, contrast_loss: 8.91, contrast_acc: 25.19
2023-08-07 19:16:20,382 DEBUG epoch:6, knn_val_accu: 45.61, contrast_loss: 8.89, contrast_acc: 26.77
2023-08-07 19:16:20,810 DEBUG epoch:6, knn_val_accu: 45.61, contrast_loss: 8.89, contrast_acc: 26.77
2023-08-07 19:16:22,551 DEBUG epoch:6, knn_val_accu: 45.61, contrast_loss: 8.89, contrast_acc: 26.77
2023-08-07 19:17:38,599 DEBUG epoch:7, knn_val_accu: 47.33, contrast_loss: 8.86, contrast_acc: 28.61
2023-08-07 19:17:38,619 DEBUG epoch:7, knn_val_accu: 47.33, contrast_loss: 8.86, contrast_acc: 28.61
2023-08-07 19:17:40,419 DEBUG epoch:7, knn_val_accu: 47.33, contrast_loss: 8.86, contrast_acc: 28.61
2023-08-07 19:18:55,230 DEBUG epoch:8, knn_val_accu: 47.55, contrast_loss: 8.84, contrast_acc: 29.90
2023-08-07 19:18:55,556 DEBUG epoch:8, knn_val_accu: 47.55, contrast_loss: 8.84, contrast_acc: 29.90
2023-08-07 19:18:56,939 DEBUG epoch:8, knn_val_accu: 47.55, contrast_loss: 8.84, contrast_acc: 29.90
2023-08-07 19:20:12,006 DEBUG epoch:9, knn_val_accu: 48.99, contrast_loss: 8.84, contrast_acc: 30.90
